Timestamp,Voltage (V),Current (A)
2025-04-14T21:21:10.631Z,1.27,1.5
2025-04-14T21:21:11.632Z,2.11,1.63
2025-04-14T21:21:12.633Z,0.94,1.33
2025-04-14T21:21:13.633Z,2.27,0.27
2025-04-14T21:21:14.634Z,2.95,1.31
2025-04-14T21:21:15.635Z,4.42,1.16
2025-04-14T21:21:16.635Z,0.06,1.15
2025-04-14T21:21:17.639Z,4.24,0.01
2025-04-14T21:21:18.637Z,0.97,0.61
2025-04-14T21:21:19.637Z,1.03,1.24
2025-04-14T21:21:20.639Z,1.08,1.36
2025-04-14T21:21:21.639Z,2.81,0.15
2025-04-14T21:21:22.646Z,2.1,0.16
2025-04-14T21:21:23.640Z,4.05,1.73
2025-04-14T21:21:24.641Z,2.81,1.2
2025-04-14T21:21:25.643Z,2.91,1.69
2025-04-14T21:21:26.643Z,3.65,0.27
2025-04-14T21:21:27.643Z,0.36,1.28
2025-04-14T21:21:28.644Z,1.25,1.84
2025-04-14T21:21:29.644Z,1.67,1.49
2025-04-14T21:21:30.646Z,4.76,0.46
2025-04-14T21:21:31.646Z,0.76,0.66
2025-04-14T21:21:32.647Z,4.67,1.2
2025-04-14T21:21:33.647Z,3.84,1.91
2025-04-14T21:21:34.648Z,2.1,0.58
2025-04-14T21:21:35.649Z,2.11,1.44
2025-04-14T21:21:36.649Z,0.18,1.18
2025-04-14T21:21:37.650Z,4.34,0.25
2025-04-14T21:21:38.652Z,2.67,0.89
2025-04-14T21:21:39.652Z,3.18,0.14
2025-04-14T21:21:40.653Z,3.25,1.18
2025-04-14T21:21:41.656Z,0.28,0.29
2025-04-14T21:21:42.656Z,0.34,1.27
2025-04-14T21:21:43.657Z,2.4,1.54
2025-04-14T21:21:44.677Z,0.4,1.96
2025-04-14T21:21:45.656Z,4.35,0.83
2025-04-14T21:21:46.657Z,0.48,0.65
2025-04-14T21:21:47.657Z,0.11,0.52
2025-04-14T21:21:48.658Z,0.64,0.76
2025-04-14T21:21:49.659Z,2.37,0.75
2025-04-14T21:21:50.659Z,2.45,1.1
2025-04-14T21:21:51.661Z,4.15,1.92
2025-04-14T21:21:52.661Z,2.1,1.47
2025-04-14T21:21:53.661Z,0.37,0.99
2025-04-14T21:21:54.659Z,4.47,1.15
2025-04-14T21:21:55.660Z,1.93,1.79
2025-04-14T21:21:56.660Z,1.29,1.64
2025-04-14T21:21:57.661Z,4.79,1.01
2025-04-14T21:21:58.662Z,0.25,0.89
2025-04-14T21:21:59.663Z,4.58,0.33
2025-04-14T21:22:00.664Z,3,0.89
2025-04-14T21:22:01.664Z,1.7,0.17
2025-04-14T21:22:02.665Z,3.46,0.38
2025-04-14T21:22:03.665Z,0.43,1.38
2025-04-14T21:22:04.667Z,4.36,1.21
2025-04-14T21:22:05.669Z,2.19,0.96
2025-04-14T21:22:06.667Z,2.47,1.88
2025-04-14T21:22:07.668Z,3.59,1.87
2025-04-14T21:22:08.669Z,0.35,0.35
2025-04-14T21:22:09.679Z,4.12,0.84
2025-04-14T21:22:10.706Z,4.89,1.84
2025-04-14T21:22:11.671Z,2.34,0.67
2025-04-14T21:22:12.749Z,0.19,0.15
2025-04-14T21:22:13.672Z,0.45,1.76
2025-04-14T21:22:14.679Z,1.61,0.25
2025-04-14T21:22:15.674Z,3.19,0.31
2025-04-14T21:22:16.674Z,4.03,0.98
2025-04-14T21:22:17.676Z,2.98,0.39
2025-04-14T21:22:18.676Z,0.04,1.03
2025-04-14T21:22:19.676Z,1.79,1.65
2025-04-14T21:22:20.677Z,3.91,1.07
2025-04-14T21:22:21.678Z,4.24,1.65
2025-04-14T21:22:22.679Z,1.21,0.54
2025-04-14T21:22:23.685Z,1.06,0.5
2025-04-14T21:22:24.681Z,2.03,0.32
2025-04-14T21:22:25.680Z,0.32,1.41
2025-04-14T21:22:26.682Z,1.54,1.77
2025-04-14T21:22:27.682Z,2.17,1
2025-04-14T21:22:28.684Z,2.89,0.65
2025-04-14T21:22:29.686Z,2.47,0.22
2025-04-14T21:22:30.685Z,3.79,1.17
2025-04-14T21:22:31.687Z,0.16,0.48
2025-04-14T21:22:32.686Z,2.62,0.29
2025-04-14T21:22:33.686Z,0.39,1.08
2025-04-14T21:22:34.688Z,4.03,0.57
2025-04-14T21:22:35.688Z,2.61,1.52
2025-04-14T21:22:36.689Z,4.66,0.21
2025-04-14T21:22:37.689Z,0.57,1.96
2025-04-14T21:22:38.690Z,4.55,1.3
2025-04-14T21:22:39.691Z,4.94,1.55
2025-04-14T21:22:40.692Z,2.21,1.12
2025-04-14T21:22:41.693Z,2.93,0.27
2025-04-14T21:22:42.693Z,2.32,0.44
2025-04-14T21:22:43.693Z,2.91,1.98
2025-04-14T21:22:44.695Z,1.52,0.56
2025-04-14T21:22:45.695Z,0.7,1.03
2025-04-14T21:22:46.696Z,4.39,1.14
2025-04-14T21:22:47.696Z,2.99,1.66
2025-04-14T21:22:48.697Z,3.35,1.21
2025-04-14T21:22:49.698Z,0.43,1.52
2025-04-14T21:22:50.700Z,0.86,1.19
2025-04-14T21:22:51.700Z,1.5,0.1
2025-04-14T21:22:52.700Z,1.23,0.69
2025-04-14T21:22:53.706Z,1.05,1.43
2025-04-14T21:22:54.705Z,3.11,0.31
2025-04-14T21:22:55.705Z,4.92,0.16
2025-04-14T21:22:56.706Z,1.99,1.71
2025-04-14T21:22:57.711Z,1.39,1.7
2025-04-14T21:22:58.707Z,3.36,0.91
2025-04-14T21:22:59.708Z,3.57,0.33
2025-04-14T21:23:00.708Z,3.28,1.77
2025-04-14T21:23:01.710Z,4.1,0.83
2025-04-14T21:23:02.710Z,1.76,0.89
2025-04-14T21:23:03.710Z,0.91,0.34
2025-04-14T21:23:04.711Z,2.11,1.04
2025-04-14T21:23:05.712Z,0.26,0.91
2025-04-14T21:23:06.716Z,2.9,1.22
2025-04-14T21:23:07.714Z,3.64,0.9
2025-04-14T21:23:08.715Z,3.84,0.13
2025-04-14T21:23:09.716Z,4.41,1.27
2025-04-14T21:23:10.716Z,1.79,1.84
2025-04-14T21:23:11.716Z,0.37,0.7
2025-04-14T21:23:12.717Z,0.61,1.81
2025-04-14T21:23:13.721Z,1.65,0.02
2025-04-14T21:23:14.742Z,2.32,1.32
2025-04-14T21:23:15.719Z,3.54,1.59
2025-04-14T21:23:16.720Z,3.47,1.77
2025-04-14T21:23:17.721Z,4.62,0.1
2025-04-14T21:23:18.722Z,3.19,1.5
2025-04-14T21:23:19.723Z,3.77,1.41
2025-04-14T21:23:20.723Z,3.36,1.2
2025-04-14T21:23:21.723Z,2.99,1.12
2025-04-14T21:23:22.723Z,2.59,1.56
2025-04-14T21:23:23.724Z,3.9,1.52
2025-04-14T21:23:24.726Z,0.48,0.14
2025-04-14T21:23:25.726Z,0.44,1.18
2025-04-14T21:23:26.727Z,1.5,1.01
2025-04-14T21:23:27.728Z,2.95,0.21
2025-04-14T21:23:28.728Z,2.31,1.01
2025-04-14T21:23:29.730Z,2.45,1.61
2025-04-14T21:23:30.729Z,0.57,1.1
2025-04-14T21:23:31.730Z,4.28,0.05
2025-04-14T21:23:32.731Z,1.73,1.37
2025-04-14T21:23:33.731Z,1.69,0.96
2025-04-14T21:23:34.732Z,0.03,0.21
2025-04-14T21:23:35.733Z,1.75,1.18
2025-04-14T21:23:36.735Z,3,0.89
2025-04-14T21:23:37.736Z,2.62,0.54
2025-04-14T21:23:38.735Z,2.63,0.43
2025-04-14T21:23:39.738Z,3.89,0.5
2025-04-14T21:23:40.738Z,2.35,0.15
2025-04-14T21:23:41.737Z,3.64,0.94
2025-04-14T21:23:42.738Z,4.63,1.58
2025-04-14T21:23:43.739Z,1.52,0.92
2025-04-14T21:23:44.741Z,3.16,1.14
2025-04-14T21:23:45.740Z,4.2,0.6
2025-04-14T21:23:46.741Z,4.5,1.68
2025-04-14T21:23:47.742Z,2.41,0.47
2025-04-14T21:23:48.743Z,1.96,1.87
2025-04-14T21:23:49.743Z,0.01,0.34
2025-04-14T21:23:50.744Z,1.28,1.71
2025-04-14T21:23:51.745Z,4.48,0.75
2025-04-14T21:23:52.745Z,2.53,0.71
2025-04-14T21:23:53.747Z,3.29,0.93
2025-04-14T21:23:54.745Z,2.19,0.71
2025-04-14T21:23:55.747Z,3.2,1.64
2025-04-14T21:23:56.748Z,0.79,0.3
2025-04-14T21:23:57.748Z,4.1,0.8
2025-04-14T21:23:58.748Z,1.13,1.42
2025-04-14T21:23:59.751Z,1.38,1.82
2025-04-14T21:24:00.750Z,0.44,0.28
2025-04-14T21:24:01.750Z,3.93,1.75
2025-04-14T21:24:02.751Z,4.8,0
2025-04-14T21:24:03.755Z,0.96,1.47
2025-04-14T21:24:04.753Z,3.7,0.87
2025-04-14T21:24:05.757Z,0.43,1.33
2025-04-14T21:24:06.753Z,3.52,0.61
2025-04-14T21:24:07.754Z,3.24,0
2025-04-14T21:24:08.755Z,3.8,1.78
2025-04-14T21:24:09.757Z,3.57,0.23
2025-04-14T21:24:10.757Z,4.98,0.14
2025-04-14T21:24:11.758Z,3.45,0.62
2025-04-14T21:24:12.758Z,0.09,0.1
2025-04-14T21:24:13.760Z,3.49,0.18
2025-04-14T21:24:14.761Z,2.9,0.55
2025-04-14T21:24:15.760Z,2.43,1.55
2025-04-14T21:24:16.760Z,3.85,1.34
2025-04-14T21:24:17.769Z,2.75,1.21
2025-04-14T21:24:18.761Z,1.51,0.26
2025-04-14T21:24:19.762Z,2.51,0.59
2025-04-14T21:24:20.763Z,2.83,1.14
2025-04-14T21:24:21.764Z,4.37,0.79
2025-04-14T21:24:22.764Z,1.98,1
2025-04-14T21:24:23.766Z,1.37,0.85
2025-04-14T21:24:24.766Z,3.78,0.84
2025-04-14T21:24:25.766Z,3.42,1.15
2025-04-14T21:24:26.767Z,4.6,0.67
2025-04-14T21:24:27.768Z,1.4,1.07
2025-04-14T21:24:28.770Z,0.66,1.28
2025-04-14T21:24:29.769Z,0.62,1.63
2025-04-14T21:24:30.770Z,4.69,0.9
2025-04-14T21:24:31.771Z,1.23,0.78
2025-04-14T21:24:32.772Z,3.13,1.61
2025-04-14T21:24:33.772Z,0.1,0.4
2025-04-14T21:24:34.773Z,4.78,0
2025-04-14T21:24:35.774Z,3.94,1.07
2025-04-14T21:24:36.774Z,1.56,1.51
2025-04-14T21:24:37.775Z,2.86,0.31
2025-04-14T21:24:38.776Z,0.44,1.39
2025-04-14T21:24:39.777Z,2.76,1.84
2025-04-14T21:24:40.777Z,2.52,1.08
2025-04-14T21:24:41.778Z,0.14,0.54
2025-04-14T21:24:42.778Z,0.19,0.28
2025-04-14T21:24:43.779Z,1.71,1.7
2025-04-14T21:24:44.780Z,1.63,1.47
2025-04-14T21:24:45.781Z,0.24,1.43
2025-04-14T21:24:46.781Z,3.54,0.08
2025-04-14T21:24:47.782Z,4.81,1.52
2025-04-14T21:24:48.783Z,2.88,1.63
2025-04-14T21:24:49.783Z,3.59,0.19
2025-04-14T21:24:50.784Z,3.79,1.56
2025-04-14T21:24:51.784Z,4.61,0.87
2025-04-14T21:24:52.785Z,3.53,0.99
2025-04-14T21:24:53.787Z,2.88,0.44
2025-04-14T21:24:54.788Z,3.8,0.66
2025-04-14T21:24:55.790Z,2.83,0.74
2025-04-14T21:24:56.789Z,2.36,1.09
2025-04-14T21:24:57.790Z,0.67,0.34
2025-04-14T21:24:58.791Z,4.39,0.84
2025-04-14T21:24:59.792Z,1.51,1.49
2025-04-14T21:25:00.792Z,2.66,0.67
2025-04-14T21:25:01.793Z,1.1,1.89
2025-04-14T21:25:02.793Z,3.27,1.73
2025-04-14T21:25:03.794Z,0.81,0.95
2025-04-14T21:25:04.796Z,4.36,0.74
2025-04-14T21:25:05.795Z,4.35,0.31
2025-04-14T21:25:06.796Z,4.72,0.28
2025-04-14T21:25:07.797Z,2.98,0.7
2025-04-14T21:25:08.797Z,0.87,0.97
2025-04-14T21:25:09.798Z,0.89,0.46
2025-04-14T21:25:10.799Z,0.9,1.11
2025-04-14T21:25:11.800Z,1.12,0.63
2025-04-14T21:25:12.800Z,1.12,1.81
2025-04-14T21:25:13.802Z,4.51,0.3
2025-04-14T21:25:14.802Z,3.21,0.13
2025-04-14T21:25:15.803Z,1.28,1.5
2025-04-14T21:25:16.803Z,1,1.59
2025-04-14T21:25:17.804Z,2.54,1.92
2025-04-14T21:25:18.809Z,1.94,1.3
2025-04-14T21:25:19.806Z,1.32,1.59
2025-04-14T21:25:20.817Z,2.77,1.79
2025-04-14T21:25:21.841Z,1.32,0.72
2025-04-14T21:25:22.807Z,3.83,0.81
2025-04-14T21:25:23.809Z,1.53,0.22
2025-04-14T21:25:24.809Z,0.21,1.56
2025-04-14T21:25:25.810Z,3.18,1.91
2025-04-14T21:25:26.810Z,4,1.96
2025-04-14T21:25:27.812Z,1.2,1.04
2025-04-14T21:25:28.812Z,0.99,1.29
2025-04-14T21:25:29.813Z,1.44,1.75
2025-04-14T21:25:30.814Z,3.7,0.16
2025-04-14T21:25:31.813Z,0.99,0.8
2025-04-14T21:25:32.815Z,1.18,0.88
2025-04-14T21:25:33.815Z,4.52,1.28
2025-04-14T21:25:34.816Z,3,0.62
2025-04-14T21:25:35.817Z,3.4,1.49
2025-04-14T21:25:36.822Z,3.85,1.83
2025-04-14T21:25:37.818Z,0.15,0.59
2025-04-14T21:25:38.821Z,3.78,1.59
2025-04-14T21:25:39.823Z,0.61,1.82
2025-04-14T21:25:40.823Z,0.48,0.54
2025-04-14T21:25:41.822Z,4.4,1.81
2025-04-14T21:25:42.822Z,2.7,0.28
2025-04-14T21:25:43.824Z,2.51,1.44
2025-04-14T21:25:44.825Z,3.69,1.95
2025-04-14T21:25:45.824Z,4.69,1.1
2025-04-14T21:25:46.825Z,1.72,1.23
2025-04-14T21:25:47.826Z,1.25,0.19
2025-04-14T21:25:48.827Z,3.5,0.31
2025-04-14T21:25:49.827Z,2.43,0.46
2025-04-14T21:25:50.828Z,3.69,0.7
2025-04-14T21:25:51.829Z,3.94,0.1
2025-04-14T21:25:52.829Z,3.92,0.64
2025-04-14T21:25:53.831Z,0.24,1.61
2025-04-14T21:25:54.830Z,0.19,0.2
2025-04-14T21:25:55.831Z,0.62,0.61
2025-04-14T21:25:56.832Z,2.25,0.34
2025-04-14T21:25:57.834Z,4.49,0.9
2025-04-14T21:25:58.834Z,3.22,0.6
2025-04-14T21:25:59.835Z,0.93,1.28
2025-04-14T21:26:00.835Z,1.22,1.81
2025-04-14T21:26:01.836Z,3.66,0.68
2025-04-14T21:26:02.839Z,0.23,1.22
2025-04-14T21:26:03.841Z,1.39,1.17
2025-04-14T21:26:04.837Z,2.93,1.64
2025-04-14T21:26:05.839Z,1.78,1.56
2025-04-14T21:26:06.839Z,2.71,1.41
2025-04-14T21:26:07.840Z,3.55,0.36
2025-04-14T21:26:08.840Z,4.89,1.28
2025-04-14T21:26:09.841Z,1.2,1.02
2025-04-14T21:26:10.841Z,3.12,0.16
2025-04-14T21:26:11.843Z,3.47,1.46
2025-04-14T21:26:12.843Z,3.51,0.72
